Gene.name	Mouse.gene.name	Chicken.gene.name
CBR1	Cbr1	CBR3
C14orf39	4930447C04Rik	C14orf39
PFKFB1	Pfkfb1	PFKFB4
RUNX1	Runx1	RUNX1
C18orf21	2700062C07Rik	C18orf21
ELFN2	Elfn2	ELFN2
KCTD1	Kctd1	KCTD1
TBC1D22A	Tbc1d22a	TBC1D22A
SIX6	Six6	SIX6
EVA1C	Eva1c	EVA1C
SIX4	Six4	SIX4
SLC39A6	Slc39a6	SLC39A6
SLC25A15	Slc25a15	SLC25A15
CFAP298	Cfap298	C1H21ORF59
DYNLT3	Dynlt3	DYNLT3
ZBTB14	Zbtb14	ZBTB14
PLCB1	Plcb1	PLCB1
PPM1A	Ppm1a	PPM1A
DNAJC15	Dnajc15	DNAJC15
GALR1	Galr1	GALR1
MTHFD1	Mthfd1	MTHFD1
GPR12	Gpr12	GPR12
ZNF521	Zfp521	ZNF521
VSIG4	Vsig4	VSIG4
GTF2F2	Gtf2f2	GTF2F2
IMPACT	Impact	IMPACT
ZC4H2	Zc4h2	ZC4H2
JADE3	Jade3	JADE3
ZBED4	Zbed4	ZBED4
SUMO3	Gm49325	SUMO3
PHF21B	Phf21b	PHF21B
WASF3	Wasf3	WASF3
MRPL39	Mrpl39	MRPL39
CBLN2	Cbln2	CBLN2
SLC9A7	Slc9a7	SLC9A7
SAMSN1	Samsn1	SAMSN1
SLC7A3	Slc7a3	SLC7A3
DHRS7	Gm4756	DHRS7
UPK3A	Upk3a	UPK3A
RAX	Rax	RAX
RPL3	Rpl3	RPL3
C21orf58	2610028H24Rik	C21orf58
PCNX1	Pcnx	PCNX1
EDA2R	Eda2r	EDA2R
POSTN	Postn	POSTN
CYSLTR1	Cysltr1	CYSLTR1
ATP6AP2	Atp6ap2	ATP6AP2
SIM2	Sim2	SIM2
MBP	Mbp	MBP
CBLN4	Cbln4	CBLN3
BPIFB3	Bpifb3	BPIFB3
GTSE1	Gtse1	GTSE1
RIPPLY3	Ripply3	RIPPLY3
RRP1B	Rrp1b	RRP1B
ATP9A	Atp9a	ATP9A
EIF4ENIF1	Eif4enif1	EIF4ENIF1
PDXK	Pdxk	PDXK
GPHB5	Gphb5	GPHB5
GRPEL1	Grpel1	GRPEL1
MNAT1	Mnat1	MNAT1
RALY	Raly	RALY
SLC2A9	Slc2a9	SLC2A9
RNF212	Rnf212	RNF212
CSTB	Cstb	CSTB
EVC	Evc	EVC
TST	Tst	TST
ZNF516	Zfp516	ZNF516
SLC16A2	Slc16a2	SLC16A2
PDXP	Pdxp	PDXP
PRR5-ARHGAP8	Arhgap8	ARHGAP8
ZCCHC13	Zcchc13	CNBP
CHST9	Chst9	CHST9
DHX15	Dhx15	DHX15
AGPAT3	Agpat3	AGPAT3
JKAMP	Jkamp	JKAMP
CRMP1	Crmp1	CRMP1
CDK5RAP1	Cdk5rap1	CDK5RAP1
WNT7B	Wnt7b	WNT7B
TMEM241	Tmem241	TMEM241
KLF8	Klf8	KLF8
SAMM50	Samm50	SAMM50
KIF4A	Kif4	KIF4B
RHOJ	Rhoj	RHOJ
SOCS4	Socs4	SOCS4
MXD4	Mxd4	MXD4
KCNH5	Kcnh5	KCNH5
FGF16	Fgf16	FGF16
TRMT5	Trmt5	TRMT5
CPZ	Cpz	CPZ
DYRK1A	Dyrk1a	DYRK1A
ZFYVE1	Zfyve1	ZFYVE1
STK4	Stk4	STK4
ELP2	Elp2	ELP2
SLC25A17	Slc25a17	SLC25A17
FNDC3A	Fndc3a	FNDC3A
CFAP99	Cfap99	CFAP99
STK32B	Stk32b	STK32B
MSX1	Msx1	MSX1
SUSD6	Susd6	SUSD6
QDPR	Qdpr	QDPR
SLC17A9	Slc17a9	SLC17A9
IDUA	Idua	IDUA
PYGB	Pygb	PYGB
PRDM15	Prdm15	PRDM15
EGLN3	Egln3	EGLN3
ATP5ME	Atp5k	ATP5I
PPP1R3D	Ppp1r3d	PPP1R3D
CYTL1	Cytl1	CYTL1
PFDN4	Pfdn4	PFDN4
TTLL12	Ttll12	TTLL12
SPTSSA	Sptssa	SPTSSA
PSMA7	Psma7	PSMA7
FOS	Fos	FOS
TRMT44	Trmt44	TRMT44
PRR5	Prr5	PRR5
LHFPL6	Lhfp	LHFPL6
PLEKHD1	Plekhd1	PLEKHD1
TBC1D14	Tbc1d14	TBC1D14
LTBP2	Ltbp2	LTBP2
MAP1LC3A	Map1lc3a	MAP1LC3A
CD226	Cd226	CD226
UPRT	Uprt	UPRT
ENTPD6	Entpd6	ENTPD6
DRD5	Drd5	DRD5
PKNOX1	Pknox1	PKNOX1
JAKMIP1	Jakmip1	JAKMIP1
AKAP11	Akap11	AKAP11
HDX	Hdx	HDX
PIGN	Pign	PIGN
MZT1	Mzt1	MZT1
ISCA2	Isca2	ISCA2
JDP2	Jdp2	JDP2
PROSER1	Proser1	PROSER1
SPATA7	Spata7	SPATA7
TBC1D25	Tbc1d25	TBC1D25
SH3BP2	Sh3bp2	SH3BP2
EDA	Eda	EDA
CHM	Chm	CHM
PIN4	Pin4	PIN4
KL	Kl	KL
CRYAA	Cryaa	CRYAA
U2AF1	U2af1	U2AF1
RPS6KA6	Rps6ka6	RPS6KA6
WDR1	Wdr1	WDR1
TOGARAM1	Togaram1	TOGARAM1
PCDH8	Pcdh8	PCDH8
POF1B	Pof1b	POF1B
RBBP8NL	Rbbp8nl	RBBP8NL
PIBF1	Pibf1	PIBF1
KLHL4	Klhl4	KLHL4
CST3	Cst3	CST3
SETD4	Setd4	SETD4
LDB2	Ldb2	LDB2
GID8	Gid8	GID8
AP5M1	Ap5m1	AP5M1
NOX1	Nox1	NOX1
TMEM63C	Tmem63c	TMEM63C
BORA	Bora	BORA
PMEPA1	Pmepa1	PMEPA1
IFNGR2	Ifngr2	IFNGR2
CPLX1	Cplx1	CPLX1
SLC35F4	Slc35f4	SLC35F4
DNAJC28	Dnajc28	DNAJC28
IDH3B	Idh3b	IDH3B
RNF4	Rnf4	RNF4
SLC19A1	Slc19a1	SLC19A1
TENT5D	Tent5d	TENT5D
BMP4	Bmp4	BMP4
TBX22	Tbx22	TBX22
SH3BGRL	Sh3bgrl	SH3BGRL
VAPB	Vapb	VAPB
KLHL1	Klhl1	KLHL1
RAE1	Rae1	RAE1
TRMT2B	Trmt2b	TRMT2B
FANCM	Fancm	FANCM
ADGRA3	Adgra3	ADGRA3
GTF3A	Gtf3a	GTF3A
PSEN1	Psen1	PSEN1
TSHZ2	Tshz2	TSHZ2
FAM3B	Fam3b	FAM3B
CNMD	Cnmd	LECT1
SPO11	Spo11	SPO11
XK	Xk	XK
ARHGAP6	Arhgap6	ARHGAP6
C4orf19	0610040J01Rik	C4orf19
ADAMTS1	Adamts1	ADAMTS1
EXOC1	Exoc1	EXOC1
B3GLCT	B3glct	B3GLCT
VSTM2L	Vstm2l	VSTM2L
EIF2S2	Eif2s2	EIF2S2
MIS18A	Mis18a	MIS18A
SOX18	Sox18	SOX18
ACSS1	Acss1	ACSS1
WDR4	Wdr4	WDR4
TBC1D19	Tbc1d19	TBC1D19
MOCOS	Mocos	MOCOS
DGAT2L6	Dgat2l6	AWAT1
ATG4A	Atg4a-ps	ATG4A
RIOX1	Riox1	C5H14ORF169
DOK5	Dok5	DOK5
POLE2	Pole2	POLE2
NETO1	Neto1	NETO1
NDUFV3	Ndufv3	NDUFV3
ELF1	Elf1	ELF1
GABPA	Gabpa	GABPA
B4GALT5	B4galt5	B4GALT5
CLIC6	Clic6	CLIC6
PSMD10	Psmd10	PSMD10
CNDP2	Cndp2	CNDP2
TNIP2	Tnip2	TNIP2
ZFP64	Zfp64	ZFP64
SCEL	Scel	SCEL
KCNE2	Kcne2	KCNE2
SRSF5	Srsf5	SRSF5
PPARGC1A	Ppargc1a	PPARGC1A
LRCH2	Lrch2	LRCH2
FUNDC1	Fundc1	FUNDC1
CCNB3	Ccnb3	CCNB3
UCKL1	Uckl1	UCKL1
POU3F4	Pou3f4	POU3F4
SYNJ1	Synj1	SYNJ1
BLCAP	Blcap	BLCAP
MGAT2	Mgat2	MGAT2
FUT8	Fut8	FUT8
ADRA2C	Adra2c	ADRA2C
SPON2	Spon2	SPON2
EFNB1	Efnb1	EFNB1
SALL4	Sall4	SALL4
WAS	Was	WAS
BMP7	Bmp7	BMP7
SLIT2	Slit2	SLIT2
DLG3	Dlg3	DLG3
TTI1	Tti1	TTI1
RBM11	Rbm11	RBM11
CNDP1	Cndp1	CNDP1
HSPA13	Hspa13	HSPA13
PSMG1	Psmg1	PSMG1
C20orf85	1700021F07Rik	C20orf85
PIM3	Pim3	PIM3
BHLHE23	Bhlhe23	BHLHE23
CDH4	Cdh4	CDH4
NUP50	1700123L14Rik	NUP50
BRWD1	Brwd1	BRWD1
ERO1A	Ero1a	ERO1A
SLC25A43	Slc25a43	SLC25A43
TWSG1	Twsg1	TWSG1
DENND6B	Dennd6b	DENND6B
DOK6	Dok6	DOK6
SH3KBP1	Sh3kbp1	SH3KBP1
NDRG3	Ndrg3	NDRG3
KIAA1328	AW554918	KIAA1328
PELI2	Peli2	PELI2
FREM2	Frem2	FREM2
ATXN10	Atxn10	ATXN10
NAA30	Naa30	NAA30
RGS6	Rgs6	RGS6
ZADH2	Zadh2	ZADH2
ANKRD29	Ankrd29	ANKRD29
CHADL	Chadl	CHADL
RPS21	Rps21	RPS21
SMC1B	Smc1b	SMC1B
SERPINB8	Serpinb8	SERPINB6
KCNIP4	Kcnip4	KCNIP4
DNAJC5	Dnajc5	DNAJC5
CARD10	Card10	CARD10
TFAP2C	Tfap2c	TFAP2C
SLC25A5	Slc25a5	SLC25A5
TBC1D4	Tbc1d4	TBC1D4
CCBE1	Ccbe1	CCBE1
PGRMC1	Pgrmc1	PGRMC1
KLHL13	Klhl13	KLHL9
SS18L1	Ss18l1	SS18L1
CHRNA9	Chrna9	CHRNA9
HOPX	Hopx	HOPX
NOP56	Nop56	NOP56
MIR1-2	Mir1a-2	gga-mir-1a-2
CERK	Cerk	CERK
MIR187	Mir187	gga-mir-187
THOC2	Thoc2	THOC2
AK3	Ak3	AK3
SEL1L3	Sel1l3	SEL1L3
PPP6R2	Ppp6r2	PPP6R2
SPRY2	Spry2	SPRY2
RCL1	Rcl1	RCL1
PIAS2	Pias2	PIAS2
DSCAM	Dscam	DSCAM
UFM1	Ufm1	UFM1
FGFRL1	Fgfrl1	FGFRL1
DIP2C	Dip2c	DIP2C
NFATC2	Nfatc2	NFATC2
ZNF518B	Zfp518b	ZNF518B
CDC37L1	Cdc37l1	CDC37L1
HDHD2	Hdhd2	HDHD2
BACE2	Bace2	BACE2
TTC39B	Ttc39b	TTC39B
DACH1	Dach1	DACH1
COMMD8	Commd8	COMMD8
IER3IP1	Gm50364	IER3IP1
ITM2A	Itm2a	ITM2A
FAM114A1	Fam114a1	FAM114A1
SKOR2	Skor2	SKOR2
RIPK4	Ripk4	RIPK4
PTPN21	Ptpn21	PTPN21
TGIF1	Tgif1	TGIF1
ABCG1	Abcg1	ABCG1
PRR14L	Prr14l	PRR14L
ADARB2	Adarb2	ADARB2
SLAIN2	Slain2	SLAIN2
KIAA2026	9930021J03Rik	KIAA2026
SLITRK4	Slitrk4	SLITRK4
FAM83F	Fam83f	FAM83F
SYNDIG1L	Syndig1l	SYNDIG1L
HTATSF1	Htatsf1	HTATSF1
AKR1E2	Akr1e1	AKR1E2
DDHD1	Ddhd1	DDHD1
PVALB	Pvalb	PVALB
SLC1A1	Slc1a1	SLC1A1
KLF5	Klf5	KLF5
TAF4B	Taf4b	TAF4B
ALG12	Alg12	ALG12
PLPP6	Plpp6	PLPP6
TFF2	Tff2	TFF2
PSPC1	Pspc1	PSPC1
CNTLN	Cntln	CNTLN
TMPRSS3	Tmprss3	TMPRSS3
SYNGR1	Syngr1	SYNGR1
ECHDC3	Echdc3	ECHDC3
SEZ6L	Sez6l	SEZ6L
IFNA16	Ifna13	IFN-A
TMX1	Tmx1	TMX1
LAMA5	Lama5	LAMA5
DSG4	Dsg4	DSG4
WDR44	Wdr44	WDR44
HAUS6	Haus6	HAUS6
CDC123	Cdc123	CDC123
PRPF39	Prpf39	PRPF39
UBASH3A	Ubash3a	UBASH3A
TGDS	Tgds	TGDS
PWWP3B	Pwwp3b	MUM1L1
SMU1	Smu1	SMU1
SEPHS1	Sephs1	SEPHS2L
TTR	Ttr	TTR
ARHGEF6	Arhgef6	ARHGEF6
CDH2	Cdh2	CDH2
LSM14B	Lsm14b	LSM14B
FLT1	Flt1	FLT1
CIPC	Cipc	CIPC
OPTN	Optn	OPTN
MTAP	Mtap	MTAP
PHACTR3	Phactr3	PHACTR3
RSPH1	Rsph1	RSPH1
BTBD7	Btbd7	BTBD7
SLC37A1	Slc37a1	SLC37A1
RTRAF	Rtraf	C5H14orf166
PDE9A	Pde9a	PDE9A
LINGO2	Lingo2	LINGO2
KLF6	Klf6	KLF6
PSIP1	Psip1	PSIP1
OPRL1	Oprl1	OPRL1
IFT27	Ift27	IFT27
IL2RA	Il2ra	IL2RA
MIS18BP1	Mis18bp1	MIS18BP1
SNORD58B	Gm22354	SNORD58
LIPG	Lipg	LIPG
RGS19	Rgs19	RGS19
ATP5F1C	Atp5c1	ATP5C1
SNTA1	Snta1	SNTA1
RBM47	Rbm47	RBM47
PDGFB	Pdgfb	PDGFB
PCMTD2	Pcmtd2	PCMTD2
AKAP6	Akap6	AKAP6
DYM	Dym	DYM
TCEA2	Tcea2	TCEA2
APTX	Aptx	APTX
MPPED1	Mpped1	MPPED1
CD40LG	Cd40lg	CD40LG
SEC61A2	Sec61a2	SEC61A2
CCDC117	Ccdc117	CCDC117
BRS3	Brs3	BRS3
RELL1	Rell1	RELL1
ASB12	Asb12	ASB12
SSTR1	Sstr1	SSTR1
SLC25A29	Slc25a29	SLC25A29
TEC	Tec	TEC
PARVG	Parvg	PARVG
AMER1	Amer1	AMER1
UBAC2	Ubac2	UBAC2
ZIC3	Zic3	ZIC3
CEP128	Cep128	CEP128
IL1RAPL2	Il1rapl2	IL1RAPL2
GATA5	Gata5	GATA5
ZNF512B	Zfp512b	ZNF512B
RFC3	Rfc3	RFC3
TMEM184B	Tmem184b	TMEM184B
FAM217B	Fam217b	FAM217B
CMC4	Cmc4	CMC4
RBL1	Rbl1	RBL1
MEIG1	Meig1	MEIG1
IDS	Ids	IDS
HS3ST1	Hs3st1	HS3ST1
ITIH2	Itih2	ITIH2
TTLL1	Ttll1	TTLL1
TLR6	Tlr6	TLR1A
DCT	Dct	DCT
RAB22A	Rab22a	RAB22A
UCHL1	Uchl1	UCHL1
EDN3	Edn3	EDN3
CCDC171	Ccdc171	CCDC171
RIBC2	Ribc2	RIBC2
GABRA3	Gabra3	GABRA3
POU4F1	Pou4f1	POU4F1
TM9SF2	Tm9sf2	TM9SF2
PFKFB3	Pfkfb3	PFKFB3
GGA1	Gga1	GGA1
GPR50	Gpr50	GPR50
RPRD1B	Rprd1b	RPRD1B
TENM1	Tenm1	TENM1
UHRF2	Uhrf2	UHRF2
MYT1	Myt1	MYT1
UNC79	Unc79	UNC79
SLAIN1	Slain1	SLAIN1
ZAR1	Zar1	ZAR1
ADRM1	Gm9774	ADRM1
DCUN1D4	Dcun1d4	DCUN1D4
LURAP1L	Lurap1l	LURAP1L
PHF20	Phf20	PHF20
RNF38	Rnf38	RNF38
EXOC5	Exoc5	EXOC5
PHYH	Phyh	PHYH
LGALS1	Lgals1	CG-16
NFX1	Nfx1	NFX1
RBM17	Rbm17	RBM17
GGT7	Ggt7	GGT7
ANKRD54	Ankrd54	ANKRD54
FUNDC2	Fundc2	FUNDC2
YY1	Yy1	YY2
PCGF3	Pcgf3	PCGF3
NUDT5	Nudt5	NUDT5
SAMD10	Samd10	SAMD10
NRDE2	Nrde2	NRDE2
SNORD57	Snord57	SNORD57
CCDC3	Ccdc3	CCDC3
HSF2BP	Hsf2bp	HSF2BP
TSPO	Tspo	TSPO
CCDC85C	Ccdc85c	CCDC85C
SMARCA2	Smarca2	SMARCA2
SNORA71A	Gm26003	SNORA71
KIN	Kin	KIN
MIR1-1	Mir1a-1	gga-mir-1b
MIR133A2	Mir133a-2	gga-mir-133c
RBPJL	Rbpjl	RBPJL
RNF128	Rnf128	RNF128
PTTG2	Pttg1	PTTG2
CORIN	Corin	CORIN
MOK	Mok	MOK
ANKRD16	Ankrd16	ANKRD16
VGLL1	Vgll1	VGLL1
SDC4	Sdc4	SDC4
F8	F8	F8
UPF2	Upf2	UPF2
ICOSLG	Icosl	ICOSLG
SYS1-DBNDD2	Gm20458	SYS1
AFF2	Aff2	AFF2
STX16	Stx16	STX16
NHLRC3	Nhlrc3	NHLRC3
PFKL	Pfkl	PFKL
PDS5A	Pds5a	PDS5A
OLFM4	Olfm4	OLFM4
IPO5	Ipo5	IPO5
MAP7D3	Map7d3	MAP7D3
TECPR2	Tecpr2	TECPR2
MOSPD1	Mospd1	MOSPD1
CFAP410	Cfap410	C9H21orf2
CLOCK	Clock	CLOCK
TBC1D8B	Tbc1d8b	TBC1D8B
SUV39H2	Suv39h2	SUV39H2
NPEPL1	Npepl1	NPEPL1
PSMC1	Psmc1	PSMC1
ACBD7	Acbd7	ACBD7
RPP38	Rpp38	RPP38
DIAPH3	Diaph3	DIAPH3
EP300	Ep300	EP300
ITIH5	Itih5	ITIH5
PTGER2	Ptger2	PTGER2
VBP1	Vbp1	VBP1
UBE2G2	Ube2g2	UBE2G2
